ID,Loại,Mã sản phẩm,Tên,Mô tả ngắn,Mô tả,Giá khuyến mãi,Giá bán thường,Danh mục,Hình ảnh,Meta: site-sidebar-layout,Meta: site-content-layout,Meta: theme-transparent-header-meta,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _wp_page_template,Meta: _uag_css_file_name,Meta: _wxr_import_user_slug,Meta: _astra_sites_imported_post,Meta: _astra_sites_enable_for_batch,Meta: ast-site-content-layout,Meta: site-content-style,Meta: site-sidebar-style,Meta: astra-migrate-meta-layouts,Meta: _wp_old_date
465,simple,,Product Name 1,"Ut non elit lorem. Duis pharetra odio vitae nisl luctus, at volutpat arcu lacinia. Aliquam id ullamcorper augue. Fusce feugiat nibh et nisl mollis hendrerit. Mauris sit amet nulla in augue laoreet lobortis ac eleifend nunc. Quisque eleifend sollicitudin nulla, et consequat eros. Donec pellentesque dapibus massa ut cursus.
\n
\nQuisque ut augue eu dui semper eleifend. Aliquam imperdiet nisl libero, vitae vulputate lectus fringilla eget.","Nullam dapibus metus lacinia, vestibulum arcu vitae, fringilla elit. Maecenas pellentesque justo a bibendum eleifend. Nunc metus metus, bibendum at quam eget, congue fermentum diam. Cras rhoncus ex a neque dictum pellentesque. Cras et placerat est, et feugiat diam. Aliquam nec odio quis nibh fringilla euismod.",495,600,"Chưa phân loại, Sản Phẩm","https://anlights.com/wp-content/uploads/2022/08/bracelet-01-b.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-01-c.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-d.jpg",default,default,default,32,90,1,default,uag-css-12-1676046404.css,alex,1,1,,,,,
466,simple,,Product Name 2,"Ut non elit lorem. Duis pharetra odio vitae nisl luctus, at volutpat arcu lacinia. Aliquam id ullamcorper augue. Fusce feugiat nibh et nisl mollis hendrerit. Mauris sit amet nulla in augue laoreet lobortis ac eleifend nunc. Quisque eleifend sollicitudin nulla, et consequat eros. Donec pellentesque dapibus massa ut cursus.
\n
\nQuisque ut augue eu dui semper eleifend. Aliquam imperdiet nisl libero, vitae vulputate lectus fringilla eget.","Nullam dapibus metus lacinia, vestibulum arcu vitae, fringilla elit. Maecenas pellentesque justo a bibendum eleifend. Nunc metus metus, bibendum at quam eget, congue fermentum diam. Cras rhoncus ex a neque dictum pellentesque. Cras et placerat est, et feugiat diam. Aliquam nec odio quis nibh fringilla euismod.",590,700,"Chưa phân loại, Sản Phẩm","https://anlights.com/wp-content/uploads/2022/08/bracelet-02-c.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-02-b.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-d.jpg",default,default,default,32,90,1,default,uag-css-13-1676044541.css,alex,1,1,,,,,
467,simple,,Product Name 3,"Ut non elit lorem. Duis pharetra odio vitae nisl luctus, at volutpat arcu lacinia. Aliquam id ullamcorper augue. Fusce feugiat nibh et nisl mollis hendrerit. Mauris sit amet nulla in augue laoreet lobortis ac eleifend nunc. Quisque eleifend sollicitudin nulla, et consequat eros. Donec pellentesque dapibus massa ut cursus.
\n
\nQuisque ut augue eu dui semper eleifend. Aliquam imperdiet nisl libero, vitae vulputate lectus fringilla eget.","Nullam dapibus metus lacinia, vestibulum arcu vitae, fringilla elit. Maecenas pellentesque justo a bibendum eleifend. Nunc metus metus, bibendum at quam eget, congue fermentum diam. Cras rhoncus ex a neque dictum pellentesque. Cras et placerat est, et feugiat diam. Aliquam nec odio quis nibh fringilla euismod.",990,1200,"Chưa phân loại, Sản Phẩm","https://anlights.com/wp-content/uploads/2022/08/bracelet-03-b.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-03-c.jpg, https://anlights.com/wp-content/uploads/2022/08/bracelet-d.jpg",default,default,default,32,90,1,default,uag-css-14-1676044894.css,alex,1,1,,,,,
614,simple,,Đèn bàn gốm khảm xà cừ Nacre Bloom,"<table class=""w-fit min-w-(--thread-content-width)"" style=""height: 339px;"" width=""1060"" data-start=""267"" data-end=""528"">
